acc,bal_acc,n,subject,rung,model,task
0.8095238095238095,0.8095238095238095,42,73,2-loso,ts_logreg,imagery
0.8095238095238095,0.8095238095238095,42,73,2b-loso-recentered,ts_logreg_recentered,imagery
0.5348837209302325,0.5357142857142857,43,74,2-loso,ts_logreg,imagery
0.6046511627906976,0.6038961038961039,43,74,2b-loso-recentered,ts_logreg_recentered,imagery
0.6666666666666666,0.6568181818181819,42,75,2-loso,ts_logreg,imagery
0.7142857142857143,0.7136363636363636,42,75,2b-loso-recentered,ts_logreg_recentered,imagery
0.5476190476190477,0.5476190476190477,42,76,2-loso,ts_logreg,imagery
0.5238095238095238,0.5238095238095237,42,76,2b-loso-recentered,ts_logreg_recentered,imagery
0.5111111111111111,0.48809523809523814,45,77,2-loso,ts_logreg,imagery
0.5111111111111111,0.5148809523809523,45,77,2b-loso-recentered,ts_logreg_recentered,imagery
0.627906976744186,0.6201298701298701,43,79,2-loso,ts_logreg,imagery
0.6046511627906976,0.604978354978355,43,79,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5345849802371542,45,80,2-loso,ts_logreg,imagery
0.5555555555555556,0.5553359683794465,45,80,2b-loso-recentered,ts_logreg_recentered,imagery
